,Unnamed: 0,contacted?,link,id,host,date,Availability,Year,Floor,LoyerNet,Charges,,Space,Street,Zip,City,Latitude,Longitude,chambre,séjour,cuisine,wc,hall,outdoors,cave,réduit,Entrée,stores,Description,TotalRent,NearestStop,TimeToNearestStop
31,31,,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/apleona-real-estate-ag-670/votre-logement-renove-3-pieces-centre-ville-200306
",200306,"Immobilier
",2020-02-23,mars 2020										</span>,1905,2,1650,165,1815,62,Rue des Echelettes 6,1004,Lausanne,46.524609,6.62457,2,2,1,2,0,1,1,0,0,0,"<p>Implanté au 2ème étage d’un immeuble rénové, cet appartement de 3 pièces saura vous séduire par ses chaleureux aménagements intérieurs.<br><br>Exemple de distribution :<br>- 1 cuisine entièrement agencée habitable et fermée,<br>- 1 séjour avec cheminée et balcon, <br>- 2 chambres à coucher avec parquet,<br>- 1 salle-de-bains/WC/lavabo,<br>- une cave complète ce bien. <br>- immeuble sans ascenseur.<br><br>Conditions de location<br>- Début de location souhaitée : 16.03.2020<br>- Bail de durée déterminée au : 31.12.2025<br><br>Loyers: <br>- 06.03.2020: 1'225.-/net<br>- Dès le 01.03.2020: 1'650.-/net<br><br>Visites prévues lse mercredis 8 et 15 janvier 2020 entre 17h00 et 17h30. Merci de vous rendre directement sur place sans inscription au préalable et vous annoncer auprès de Madame Bidal au 2ème gauche. <br><br>Documents nécessaires pour déposer une inscription par courrier auprès de notre agence :<br>- formulaire d'inscription dûment rempli (disponible sur notre site internet http://www.realestate.apleona.ch/fileadmin/re-swiss/Mietangebote-Anmeldeformulare/Anmeldeformulare_interaktiv/217a_Mietinteressenten_Wohnung_Franz_LS.pdf/)<br>- attestation de l'Office des Poursuites récente (max. 3 mois)<br>- dernières fiches de salaire<br>- copie de pièce d'identité ou du permis de séjour (B ou C)<br><br>Photos et distribution non contractuelles.</p>",1815,Vigie,6.84429076
37,37,,"https://www.immobilier.ch/fr/louer/appartement/vaud/prilly/wincasa-siege-602/appartement-proche-toutes-les-commodites-216046
",216046,"Immobilier
",2020-02-23,mars 2020										</span>,1993,2,1510,160,1670,71,,,-1,46.524693,6.602698,2,2,1,2,0,1,0,0,0,0,"<p>Appartement lumineux comprenant:<br><br>- Cuisine agencée avec lave-vaisselle<br>- Grand séjour<br>- 2 chambres avec parquets<br>- Salle-de-bains / WC<br>- Balcon<br><br>Place de parc intérieure disponible en sus.<br><br>L'unique visite groupée de ce bien est prévue le lundi 17 février 2020 de 17h00 à 18h00. (appartement Held)<br><br>Merci de vous rendre directement sur place pour la visite sans vous annoncer au préalable.<br><br>En cas d'intérêt pour l'objet, merci de nous transmettre les documents suivants:<br>- Demande de location (www.wincasa.ch)<br>- Copie de l'extrait de l'Office des poursuites (moins de 2 mois)<br>- Copie des 3 dernières fiches de salaire<br>- Copie de la carte d'identité ou du permis de séjour</p>",1670,Provence,1.03703576
43,43,,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/livit-ag-real-estate-management-675/5-minutes-centre-ville-227251
",227251,"Immobilier
",2020-02-23,mars 2020										</span>,1948,2,1940,265,2205,79,Avenue Louis-Ruchonnet 19,1003,Lausanne,46.51851,6.625428,2,1,1,0,0,0,1,0,0,0,<p>Nous vous proposons un bel appartement situé à 500 mètres de la gare CFF et du M2. Il comprend: <br><br>- Cuisine moderne <br>- Séjour avec du parquet<br>- 2 Chambres à coucher avec du parquet <br>- Salle de bain<br>- Ascenseur<br>- Cave <br><br>Le métro M2 se trouve à 4 minutes à pied de l'immeuble. Vous pourrez vous rendre rapidement au bord du lac ou au centre-ville.<br><br>Nous nous réjouissons de votre prise de contact !</p>,2205,Lausanne-Flon,4.002245677
79,79,,"https://www.immobilier.ch/fr/louer/appartement/vaud/renens/wincasa-siege-602/proche-lausanne-263800
",263800,"Immobilier
",2020-02-23,No info,1991,3,1700,360,,85,Rue de Lausanne 71a,1020,Renens,46.5319428,6.5939202,2,2,1,0,1,2,0,0,0,0,"<p>Spacieux et lumineux logement comprenant :<br><br>- 1 Hall d'entrée <br>- 1 Cuisine entièrement agencée<br>- 1 Grand séjour donnant sur un agréable balcon<br>- 2 chambres <br>- 1 Salle-de-bain<br>- 1 balcon (photo illustrative)<br><br>visite virtuelle : https://kuula.co/share/collection/7lqMr?fs=1&amp;vr=1&amp;zoom=1&amp;thumbs=1&amp;chromeless=1&amp;logo=-1<br><br>Des places de parc peuvent être louées en sus.<br><br>En cas d'intérêt pour l'objet, merci de nous transmettre les documents suivants:<br><br>- Demande de location (www.wincasa.ch)<br>- Copie de l'extrait de l'Office des poursuites (moins de 2 mois)<br>- Copie des trois dernières fiches de salaire<br>- Copie de la carte d'identité ou du permis de séjour</p>",2060,Malley,8.367749637
109,109,,"https://www.immobilier.ch/fr/louer/appartement/vaud/renens/wincasa-siege-602/spacieux-logement-proche-lausanne-288918
",288918,"Immobilier
",2020-02-23,No info,1991,3,1700,360,,85,Rue de Lausanne 71b,1020,Renens,46.531844,6.5940503,2,2,1,1,1,2,0,0,0,0,"<p>Spacieux et lumineux logement 3.5 pièces au 3ème étage d'un immeuble proche de Lausanne<br><br>L'appartement comprend :<br><br>- 1 Hall d'entrée <br>- 1 Cuisine entièrement agencée<br>- 1 Grand séjour donnant sur un agréable balcon<br>- 2 chambres <br>- 1 Salle-de-bains<br>- 1 balcon (photo illustrative)<br><br>Visite virtuelle : https://kuula.co/share/collection/7lqMr?fs=1&amp;vr=1&amp;zoom=1&amp;thumbs=1&amp;chromeless=1&amp;logo=-1<br><br>Vous souhaitez visiter? contactez notre service de conciergerie<br><br>Des places de parc peuvent être louées en sus.<br><br>En cas d'intérêt pour l'objet, merci de nous transmettre les documents suivants:<br><br>- Demande de location (www.wincasa.ch)<br>- Copie de l'extrait de l'Office des poursuites (moins de 2 mois)<br>- Copie des trois dernières fiches de salaire<br>- Copie de la carte d'identité ou du permis de séjour</p>",2060,Malley,8.203613617
167,167,Emilie Fontannaz 213215070,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/regie-duboux-279/appartement-spacieux-83m2-centre-ville-lausanne-325527
",325527,"Immobilier
",2020-02-23,maintenant										</span>,-1,-1,1700,145,1845,83,,,-1,46.5211662,6.6178933,2,2,1,3,1,0,0,1,0,0,"<p>Immeuble idéalement situé à proximité du centre-ville de Lausanne, des transports publics et commerces.<br><br>Appartement de 3.5 pièces au 6ème étage, d'environ 83m2 comprenant :<br>- hall d'entrée<br>- cuisine agencée<br>- séjour<br>- un réduit<br>- deux chambres<br>- une salle-de-bains/wc<br>- un wc séparé<br><br>Loyer et charges mensuelles :<br>Loyer net : Fr. 1'700.-<br>Charges : Fr. 145.-<br>Frais accessoires : Fr. 125.-<br><br>Pour visiter, veuillez contacter la Régie Duboux SA.<br><br>Document à remettre pour le dossier de location :<br>- Demande de location complétée,<br>- 3 dernières fiches de salaire,<br>- Copie carte d'identité ou permis de séjour, <br>- Extrait de l'office des poursuites.</p>",1845,Vigie,4.760802837
168,168,Emilie Fontannaz 213215070,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/regie-duboux-279/appartement-spacieux-83m2-centre-ville-lausanne-325882
",325882,"Immobilier
",2020-02-23,maintenant										</span>,-1,-1,1700,270,1970,83,,,-1,46.5211662,6.6178933,2,2,1,3,1,1,0,1,0,0,"<p>Immeuble idéalement situé à proximité du centre-ville de Lausanne, des transports publics et commerces.<br><br>Appartement de 3.5 pièces au 5ème étage, d'environ 83m2 comprenant :<br>- hall d'entrée<br>- cuisine agencée<br>- séjour<br>- deux chambres<br>- une salle-de-bains/wc<br>- un wc séparé<br>- un réduit<br>- un balcon/loggia<br><br>Loyer et charges mensuelles :<br>Loyer net : Fr. 1'700.-<br>Charges : Fr. 145.-<br>Frais accessoires : Fr. 125.-<br><br>Pour visiter, veuillez contacter la Régie Duboux SA.<br><br>Document à remettre pour le dossier de location :<br>- Demande de location complétée,<br>- 3 dernières fiches de salaire,<br>- Copie carte d'identité ou permis de séjour, <br>- Extrait de l'office des poursuites.</p>",1970,Vigie,4.760802837
170,170,,"https://www.immobilier.ch/fr/louer/appartement/vaud/renens/galland-cie-254/appartement-3-pieces-326797
",326797,"Immobilier
",2020-02-23,maintenant										</span>,-1,1,1550,120,1670,68,Chemin du Rionza 15,1020,Renens,46.5248123,6.5993344,2,1,1,2,1,1,1,0,0,0,"<p>Immeuble avec ascenseur situé dans un quartier dynamique avec toutes les commodités à proximité immédite, métro, bus et magasins. Accès autoroutier facile.<br>Comprenant : hall d'entrée, séjour, 2 chambres, cuisine agencée, salle de bains/WC séparé. Balcon. Cave.</p>",1670,Provence,3.668973804
189,189,,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/apleona-real-estate-ag-670/centre-ville-disponible-suite-332707
",332707,"Immobilier
",2020-02-23,No info,1900,2,2000,300,,89,,,-1,46.5252404,6.6209126,2,1,1,3,2,1,1,0,0,0,"<p>Idéalement situé proche du centre-ville, à deux pas du parc de Valency ainsi que de Chauderon et de toutes ses commodités, telles Parkings, Métros, LEB, etc.<br><br>Ce logement de 3.5 pièces de 89 m2 est aménagé au 2ème étage d'un immeuble de caractère érigé en 1898 et bénéficie donc de beaux espaces et de hauts plafonds. <br><br>Bien qu'implanté le long de l’avenue d’Echallens, cet appartement ne souffre pas de nuisances sonores grâce notamment à la qualité de ses vitrages.<br><br>Distribution<br>- 1 hall de distribution avec niche, armoires murales et penderie,<br>- 1 vaste séjour,<br>- 1 chambre orientée Sud avec accès au balcon,<br>- 1 chambre orientée Nord,<br>- 1 grande cuisine agencée et habitable,<br>- 1 salle-de-bains avec baignoire/WC/lavabo,<br>- 1 WC séparé,<br>- 1 cave en sous-sol.<br><br>"" BAIL FIXE DE DURÉE DÉTERMINÉE DE 5 ANS, AVEC POSSIBILITÉS DE RESILIATION UNILATÉRALE PAR LE LOCATAIRE.""<br><br>Possibilité de louer une place de parc extérieure en sus. <br><br>Formulaire d'inscription disponible sur notre site internet.</p>",2300,Vigie,3.411518677
196,196,,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/apleona-real-estate-ag-670/bel-appartement-centre-ville-335824
",335824,"Immobilier
",2020-02-23,maintenant										</span>,1954,4,1880,165,2045,64,,,-1,46.5239202,6.6212074,2,1,1,2,1,1,1,0,0,0,"<p>Très bel appartement comprenant : <br><br>- 1 grand hall d'entrée,<br>- 1 salon,<br>- 1 cuisine agencée,<br>- 2 chambres à coucher,<br>- 1 salle de bains/WC,<br>- 2 petits balcons,<br>- 1 cave.<br><br>L'immeuble est idéalement situé au centre-ville de Lausanne proche du quartier de Chauderon, des transports publics et des commerces. <br><br>BAIL FIXE DE DURÉE DÉTERMINÉE DE 5 ANS, AVEC POSSIBILITÉS DE RESILIATION UNILATÉRALE PAR LE LOCATAIRE.<br><br>Votre dossier d’inscription doit comporter les pièces suivantes, pour tous les titulaires du bail, y compris l’éventuel garant : <br><br>- Demande d’inscription dûment remplie, datée et signée (à télécharger sur notre site internet : www.realestate.apleona.ch),<br>- Copie de vos 3 dernières fiches de salaire,<br>- Attestation originale de l’Office des poursuites, datant de moins de 3 mois,<br>- Copie de votre pièce d’identité (si nationalité suisse) ou permis de séjour.<br><br>Les dossiers doivent être envoyés par poste ou déposés directement à notre agence (pas de fax, ni de mail).</p>",2045,Vigie,3.630506906
